,Price
2009-01-02 07:00:00,2.5923
2009-01-02 08:00:00,2.5833
2009-01-02 09:00:00,2.6173
2009-01-02 10:00:00,2.6348
2009-01-02 11:00:00,2.6492
2009-01-02 12:00:00,2.6916
2009-01-02 13:00:00,2.6946
2009-01-02 14:00:00,2.7073
2009-01-02 15:00:00,2.7286
2009-01-02 16:00:00,2.7217
2009-01-02 17:00:00,2.7226
2009-01-02 18:00:00,2.722
2009-01-02 19:00:00,2.7217
2009-01-05 07:00:00,2.7181
2009-01-05 08:00:00,2.8201
2009-01-05 09:00:00,2.812
2009-01-05 10:00:00,2.8442
2009-01-05 11:00:00,2.8364
2009-01-05 12:00:00,2.861
2009-01-05 13:00:00,2.8838
2009-01-05 14:00:00,2.8466
2009-01-05 15:00:00,2.8466
2009-01-05 16:00:00,2.8484
2009-01-05 17:00:00,2.8505
2009-01-05 18:00:00,2.8511
2009-01-05 19:00:00,2.8481
2009-01-05 20:00:00,2.846
2009-01-06 05:00:00,2.8583
2009-01-06 06:00:00,2.8782
2009-01-06 07:00:00,2.8941
2009-01-06 08:00:00,2.8812
2009-01-06 09:00:00,2.8896
2009-01-06 10:00:00,2.8878
2009-01-06 11:00:00,2.8824
2009-01-06 12:00:00,2.8993
2009-01-06 13:00:00,2.8132
2009-01-06 14:00:00,2.8267
2009-01-06 15:00:00,2.7984
2009-01-06 16:00:00,2.7933
2009-01-06 17:00:00,2.7909
2009-01-06 18:00:00,2.7873
2009-01-06 19:00:00,2.7861
2009-01-07 07:00:00,2.7699
2009-01-07 08:00:00,2.7723
2009-01-07 09:00:00,2.772
2009-01-07 10:00:00,2.7569
2009-01-07 11:00:00,2.7584
2009-01-07 12:00:00,2.7684
2009-01-07 13:00:00,2.7358
2009-01-07 14:00:00,2.7319
2009-01-07 15:00:00,2.7383
2009-01-07 16:00:00,2.7413
2009-01-07 17:00:00,2.7389
2009-01-07 18:00:00,2.7353
2009-01-07 19:00:00,2.7437
2009-01-08 07:00:00,2.7199
2009-01-08 08:00:00,2.7181
2009-01-08 09:00:00,2.7332
2009-01-08 10:00:00,2.7437
2009-01-08 11:00:00,2.7316
2009-01-08 12:00:00,2.7569
2009-01-08 13:00:00,2.7518
2009-01-08 14:00:00,2.7936
2009-01-08 15:00:00,2.7924
2009-01-08 16:00:00,2.7972
2009-01-08 17:00:00,2.7951
2009-01-08 18:00:00,2.7939
2009-01-08 19:00:00,2.7969
2009-01-09 08:00:00,2.8093
2009-01-09 09:00:00,2.7365
2009-01-09 10:00:00,2.7247
2009-01-09 11:00:00,2.7244
2009-01-09 12:00:00,2.7341
2009-01-09 13:00:00,2.7377
2009-01-09 14:00:00,2.7515
2009-01-09 15:00:00,2.7256
2009-01-09 16:00:00,2.722
2009-01-09 17:00:00,2.7253
2009-01-09 18:00:00,2.7298
2009-01-09 19:00:00,2.7268
2009-01-12 04:00:00,2.7256
2009-01-12 08:00:00,2.7166
2009-01-12 09:00:00,2.7217
2009-01-12 10:00:00,2.688
2009-01-12 11:00:00,2.654
2009-01-12 12:00:00,2.6567
2009-01-12 13:00:00,2.6582
2009-01-12 14:00:00,2.6519
2009-01-12 15:00:00,2.6679
2009-01-12 16:00:00,2.6721
2009-01-12 17:00:00,2.6724
2009-01-12 18:00:00,2.6742
2009-01-12 19:00:00,2.6781
2009-01-12 20:00:00,2.6639
2009-01-13 04:00:00,2.6546
2009-01-13 05:00:00,2.6149
2009-01-13 06:00:00,2.636
2009-01-13 07:00:00,2.6345
2009-01-13 08:00:00,2.648
2009-01-13 09:00:00,2.6862
2009-01-13 10:00:00,2.6697
2009-01-13 11:00:00,2.6551
2009-01-13 12:00:00,2.6302
2009-01-13 13:00:00,2.6014
2009-01-13 14:00:00,2.6369
2009-01-13 15:00:00,2.6387
2009-01-13 16:00:00,2.6357
2009-01-13 17:00:00,2.6372
2009-01-13 18:00:00,2.636
2009-01-13 19:00:00,2.6444
2009-01-14 07:00:00,2.6143
2009-01-14 08:00:00,2.5929
2009-01-14 09:00:00,2.5959
2009-01-14 10:00:00,2.5821
2009-01-14 11:00:00,2.5938
2009-01-14 12:00:00,2.5821
2009-01-14 13:00:00,2.5598
2009-01-14 14:00:00,2.5707
2009-01-14 15:00:00,2.5683
2009-01-14 16:00:00,2.5656
2009-01-14 17:00:00,2.4118
2009-01-14 18:00:00,2.3943
2009-01-14 19:00:00,2.3862
2009-01-15 04:00:00,2.3928
2009-01-15 05:00:00,2.3802
2009-01-15 06:00:00,2.3627
2009-01-15 07:00:00,2.3862
2009-01-15 08:00:00,2.4581
2009-01-15 09:00:00,2.4482
2009-01-15 10:00:00,2.435
2009-01-15 11:00:00,2.4449
2009-01-15 12:00:00,2.462
