,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-01-02,17.2111,111.6222,31.0098,27.7829,19.8985,10.0093,0.374,20.9553,66.6831,27.8842,97.7239,18.4821
2014-01-03,16.8258,112.5157,30.7929,27.5777,19.8,9.9327,0.3695,20.873,67.2838,27.5378,97.6267,18.5307
2014-01-06,16.9496,111.7696,30.2006,27.8845,19.675,9.774,0.3759,20.7694,67.6354,27.7138,97.3513,18.5307
2014-01-07,16.7635,114.0861,29.9837,28.4105,19.9,9.9227,0.3806,20.8358,69.0419,27.9353,97.5862,18.6588
2014-01-08,16.9154,113.1174,29.8669,28.4929,20.096,10.1,0.3858,20.7083,68.932,27.8732,97.092,18.7613
2014-01-09,16.6898,113.0211,29.6833,28.176,20.06,9.8567,0.3716,20.549,69.4668,27.3623,97.489,18.7735
2014-01-10,16.5936,112.8707,30.0754,28.1495,19.883,9.7267,0.3709,20.7242,69.4155,27.4082,97.8698,18.6096
2014-01-13,16.6944,110.849,29.2078,28.2009,19.61,9.3167,0.3621,20.5888,69.2814,27.0925,97.2136,18.5368
2014-01-14,17.0243,111.8532,29.8251,28.7188,19.9,11.0167,0.3735,20.699,69.4082,26.9835,96.4845,18.731
2014-01-15,17.4034,113.1174,30.5343,28.6052,19.7505,10.942,0.3775,20.6233,69.4814,27.6378,97.2136,18.907
2014-01-16,17.2058,113.4182,30.7178,28.8623,19.7655,11.452,0.3745,20.379,69.3789,27.7871,97.0758,18.9192
2014-01-17,16.8345,114.1403,30.3591,28.7133,19.9805,11.36,0.3766,20.1958,69.4082,27.7526,96.5574,18.907
2014-01-21,17.0975,110.4399,30.1088,29.0419,20.35,11.7867,0.3785,20.156,68.7415,27.3221,97.5862,18.9374
2014-01-22,17.2157,109.9585,30.1755,29.0744,20.35,11.904,0.3779,19.9913,69.2104,27.104,98.5827,19.0223
2014-01-23,17.3029,109.8442,31.2434,28.9683,20.025,12.0,0.3762,19.9169,67.9438,27.4943,96.6951,18.8457
2014-01-24,17.0315,108.2437,30.626,28.0013,19.375,11.5667,0.3657,19.7311,66.2949,27.2073,95.4961,18.3122
2014-01-27,15.7483,106.9501,30.0504,27.3851,19.305,11.1867,0.3645,19.6779,65.7601,27.2418,95.4313,18.0148
2014-01-28,15.8286,106.7094,30.4342,28.2274,19.825,11.9593,0.3682,19.8638,66.0092,27.282,95.4556,18.4639
2014-01-29,15.5927,106.4988,30.601,28.2311,19.45,11.7867,0.3683,19.7098,65.0495,27.3738,95.5933,18.3243
2014-01-30,15.5478,106.4988,30.9681,29.5149,19.26,12.2333,0.3707,19.8665,65.5477,27.3394,94.9128,18.6642
2014-01-31,15.5927,106.3063,31.5354,29.4729,17.954,12.0773,0.3705,19.7921,64.7932,27.5632,92.9686,18.2576
2014-02-03,15.6393,104.1041,30.5343,28.3359,17.295,11.8187,0.3653,19.2929,63.6577,26.6621,91.3402,18.6642
2014-02-04,15.8168,103.9055,30.284,28.3382,17.365,11.922,0.3653,19.3274,63.3061,26.7539,91.9478,19.0041
2014-02-05,15.9503,104.6937,29.8919,28.4817,17.26,11.6533,0.3641,19.3513,63.8775,26.7654,93.163,18.7307
2014-02-06,16.027,105.8197,30.2339,28.9653,17.747,11.8953,0.3688,19.3115,65.0129,26.8572,93.9407,18.9205
2014-02-07,16.311,105.6685,30.4759,29.3489,18.0605,12.4733,0.3742,19.585,66.0385,26.949,95.0911,19.1041
2014-02-10,16.5699,107.562,31.16,29.284,18.05,13.1027,0.3754,19.585,66.6392,26.9261,94.8156,19.251
2014-02-11,16.7875,108.7114,30.9931,29.6946,18.075,12.9733,0.3832,19.8638,68.1042,27.1385,95.0425,19.5143
2014-02-12,16.7847,108.899,31.2184,29.6157,17.45,13.0007,0.4124,19.9435,67.7233,27.1901,94.848,19.4286
2014-02-13,17.0317,109.8911,31.3769,29.898,17.8485,13.1313,0.4082,19.9515,67.8185,27.1499,94.0946,19.3551
2014-02-14,17.0458,110.98,31.4019,29.9728,17.8395,13.1933,0.4221,20.071,67.9797,26.7195,93.3007,19.5571
2014-02-18,17.0755,110.8106,31.4352,30.16,17.65,13.5567,0.4226,20.0179,67.5402,26.3464,94.1999,19.5265
2014-02-19,16.8461,110.859,31.5192,30.0185,17.424,14.5393,0.4278,19.9143,67.2105,26.7137,93.3412,19.2816
2014-02-20,16.6435,111.4701,31.7377,30.0664,17.494,13.968,0.4428,19.5239,67.6794,27.5804,93.4303,19.3123
2014-02-21,16.4365,110.5445,31.8974,30.0602,17.3715,13.9947,0.4403,19.4018,67.5255,27.1786,93.7706,19.2816
2014-02-24,16.569,110.98,31.6789,30.28,17.6275,14.4867,0.4476,19.4788,67.3189,26.5989,94.1108,19.5571
2014-02-25,16.3648,110.7683,31.5696,30.5166,17.976,16.8467,0.447,19.4814,67.3189,26.576,94.7589,19.5877
2014-02-26,16.1595,111.4217,31.4688,30.4924,18.01,17.44,0.4434,19.8638,67.223,26.6621,93.6329,19.5877
2014-02-27,16.5339,112.2202,31.8218,30.4358,18.01,16.804,0.4387,19.8001,67.4222,27.3049,93.9893,19.753
2014-02-28,16.4572,111.7907,32.0655,30.3207,18.04,16.2567,0.4355,19.824,67.9461,27.2418,93.406,19.6489
2014-03-03,16.5339,110.859,31.7714,29.9818,17.9625,16.6667,0.4332,19.6779,67.5108,27.1672,92.0288,19.5816
2014-03-04,16.62,112.6437,32.1916,30.32,18.195,16.964,0.4349,19.9594,68.802,27.4599,92.0693,19.8876
2014-03-05,16.6701,113.2123,32.0067,30.3771,18.6055,16.82,0.4415,19.8638,68.2855,27.2418,92.3529,20.0284
2014-03-06,16.6012,113.4362,32.0655,30.4335,18.608,16.86,0.4355,19.8904,68.6839,27.236,92.9767,19.8876
2014-03-07,16.6072,113.4846,31.7798,30.3222,18.615,16.3767,0.4328,19.9035,68.7503,27.0983,92.3205,19.8662
2014-03-10,16.6012,112.7344,31.7798,30.1974,18.4835,15.8193,0.429,19.8901,68.8536,26.949,91.3402,19.8326
2014-03-11,16.7844,112.9825,31.889,29.9257,18.4275,15.5033,0.4295,20.0238,68.979,26.7769,90.9271,19.8264
2014-03-12,16.8188,112.6558,32.1076,30.16,18.53,16.1927,0.4359,20.1868,69.3553,26.5874,90.1656,19.5265
2014-03-13,16.5734,111.4943,31.8554,29.6434,18.7565,15.7667,0.4201,20.0264,68.7208,26.4612,89.2826,19.0735
2014-03-14,16.4303,110.1633,31.6537,29.2616,18.675,15.3333,0.4197,19.8821,68.4331,26.4956,88.1079,19.1286
