,5. adjusted close
2025-04-08,221.03
2025-04-07,225.78
2025-04-04,227.48
2025-04-03,243.49
2025-04-02,249.98
2025-04-01,250.34
2025-03-31,248.66
2025-03-28,244.0
2025-03-27,246.21
2025-03-26,250.34
2025-03-25,249.9
2025-03-24,248.45
2025-03-21,243.87
2025-03-20,243.32
2025-03-19,252.29
2025-03-18,246.95
2025-03-17,252.97
2025-03-14,248.35
2025-03-13,245.8
2025-03-12,249.63
2025-03-11,248.95
2025-03-10,256.9
2025-03-07,261.54
2025-03-06,248.69
2025-03-05,251.35
2025-03-04,253.21
2025-03-03,250.19
2025-02-28,252.44
2025-02-27,253.23
2025-02-26,255.84
2025-02-25,257.75
2025-02-24,261.87
2025-02-21,261.48
2025-02-20,264.74
2025-02-19,264.32
2025-02-18,263.07
2025-02-14,261.28
2025-02-13,259.19
2025-02-12,255.81
2025-02-11,254.7
2025-02-10,249.27
2025-02-07,250.6606830318
2025-02-06,251.753362556786
2025-02-05,261.547744480752
2025-02-04,262.700024707101
2025-02-03,258.994847772376
2025-01-31,253.998322308121
2025-01-30,256.551219016498
2025-01-29,227.108472543237
2025-01-28,224.158237825775
2025-01-27,222.638419941022
2025-01-24,223.303961106241
2025-01-23,224.535708934407
2025-01-22,221.77420977126
2025-01-21,222.767554793975
2025-01-17,223.294027656013
2025-01-16,221.178202757631
2025-01-15,218.565705347892
2025-01-14,216.300878696103
2025-01-13,215.953207938153
2025-01-10,218.287568741532
2025-01-08,221.694742169443
2025-01-07,222.46955128716
2025-01-06,221.188136207858
2025-01-03,221.168269307404
2025-01-02,218.476304295848
2024-12-31,218.367036343349
2024-12-30,218.784241252889
2024-12-27,221.297404160357
2024-12-26,223.393362158285
2024-12-24,222.916556547382
2024-12-23,220.45306089105
2024-12-20,221.873544273532
2024-12-19,222.429817486252
2024-12-18,218.704773651072
2024-12-17,227.44620985096
2024-12-16,227.803814059138
2024-12-13,229.283898142982
2024-12-12,230.714314975691
2024-12-11,228.588556627082
2024-12-10,230.177908663426
2024-12-09,228.469355224356
2024-12-06,236.455849206982
2024-12-05,233.187744082251
2024-12-04,231.93612935363
2024-12-03,227.476010201642
2024-12-02,225.876724715071
2024-11-29,225.896591615526
2024-11-27,225.409852554395
2024-11-26,227.30714154778
2024-11-25,224.625109986451
2024-11-22,221.486139714673
2024-11-21,220.919933051726
2024-11-20,213.171841874552
2024-11-19,208.850791025743
2024-11-18,206.70516577668
2024-11-15,203.625796206264
2024-11-14,207.599176297123
2024-11-13,209.516332190962
2024-11-12,209.456731489599
